time;logger;level;message;exception
2012-03-29 08:40:53.8107;Raven.Database.DocumentDatabase;Debug;Put document products-1 with etag 00000000-0000-0500-0000-000000000004;
2012-03-29 08:40:53.8107;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 7 because: PUT products-1;
2012-03-29 08:40:53.8107;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0013277;
2012-03-29 08:40:53.8107;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0500-0000-000000000003;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 1 documents remained;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for CategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000004, 29-03-2012 06:40:53;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: ProductPriceIndex, LastIndexedEtag: 00000000-0000-0500-0000-000000000003;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ComplexCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000004, 29-03-2012 06:40:53;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: ProductTotalPricePerCategoryIndex, LastIndexedEtag: 00000000-0000-0500-0000-000000000003;
2012-03-29 08:40:53.8127;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0500-0000-000000000003;
